Close
16.12
15.46
15.5
12.18
13.4
15.5
15.8
14.7
15.7
13.28
13.5
13.5
13.1
11.8
13.61
13.7
13.2
16.01
16.42
22.49
21.39
18.66
18
18.1
19.2
19.75
23.99
22.9
22.8
22.29
17.89
17.19
15.2
15.27
15.24
15.39
14.5
15.08
14.86
16.21
16.49
17.5
16.51
16.56
17
17.15
19.9
21.09
21.33
24.39
23.3
23
23.68
24.29
24.27
24.83
24.97
25.99
27.01
28.16
31.25
32.06
29.9
29
29.76
30.98
35.17
33.1
35.13
35.75
37.32
37.04
38.14
37.11
35.73
34.62
33
33.72
35.04
35.91
38.51
43.07
45.04
54
55.1
51.87
55.54
59.21
68.97
66.67
61.38
64.96
61.07
60.64
60.25
65.05
64.7
58.18
64
67.14
67.09
67.18
64.97
68.55
68.73
61.3
62.92
58.32
51.41
43.03
52.6
62
70
70
73.7
77.35
75.17
76.31
83.7
85.2
82.3
93.24
108.78
98.4
91.89
91.94
95.36
90.56
92.3
95.2
101.65
105.43
102.43
94.21
100.18
25.4
26.92
27.13
28.24
24.17
26.39
27.45
28.2
28.5
29
28.8
29.86
31.08
31.46
32.79
33.12
28.7
32.04
30.5
30.5
33.47
32.88
34.67
39.49
39.51
37.83
39.25
43.2
38.85
40.69
43.83
40.8
40.2
35.53
34.75
35.24
36.14
37.2
38.07
40.61
41.16
38.94
39.39
39.11
40.7
38.14
42.22
43.26
41.2
41.68
40.66
43.23
43.08
42.81
46.87
45.88
45.95
